dataset,method,metric,value,notes
STM32F4,RF,avg_key_rank,156.75,bytes_0_1_2_3
STM32F4,RF,best_key_rank,115,bytes_0_1_2_3
STM32F4,RF,worst_key_rank,218,bytes_0_1_2_3
STM32F4,SVM_linear,avg_key_rank,179.75,bytes_0_1_2_3
STM32F4,SVM_linear,best_key_rank,48,bytes_0_1_2_3
STM32F4,SVM_linear,worst_key_rank,255,bytes_0_1_2_3
STM32F4,CNN1D,avg_key_rank,41.0,byte_0_only
STM32F4,RF_feature_selection,baseline_full_avg_rank,166.5,n_bytes_2
STM32F4,RF_feature_selection,best_pca_avg_rank,115.0,n_bytes_2
STM32F4,RF_feature_selection,best_mi_avg_rank,136.0,n_bytes_2
STM32F4,RF_feature_selection,best_variance_avg_rank,87.0,n_bytes_2
AES-HD,RF,key_rank,1,byte_7
AES-HD,RF,best_recovered_key_byte_7,0xC6,byte_7
AES-HD,SVM_linear,key_rank,1,byte_7
AES-HD,SVM_linear,best_recovered_key_byte_7,0x4A,byte_7
AES-HD,CNN1D,key_rank,1,byte_7
AES-HD,CNN1D,best_recovered_key_byte_7,0x4A,byte_7
